StudentID,Name,Email,TenthMarks,TwelfthMarks,Strengths,Weaknesses,Semester,Courses
1RV22AI001,Pranav Gandhi,pranav.gandhi.ai22@rvce.edu.in,88,83,Problem_Solving(+4.50); Teamwork(+3.60); Database(+3.50); AI_ML(+3.20),Time_Management(+0.70); Research(+0.70); Programming(+0.80); Communication(+1.60); Self_Study(+1.60); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI002,Manav Kumar,manav.kumar.ai22@rvce.edu.in,89,86,Project_Work(+4.00); Teamwork(+3.60); Practical(+3.60); Communication(+3.20); Self_Study(+3.20),System_Design(+1.40); Database(+2.10); Time_Management(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI003,Varsha Yadav,varsha.yadav.ai22@rvce.edu.in,82,80,Problem_Solving(+3.60); Programming(+3.20); AI_ML(+3.20); Self_Study(+3.20),Database(+1.40); System_Design(+1.40); Time_Management(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI004,Keerthi Verma,keerthi.verma.ai22@rvce.edu.in,89,91,AI_ML(+4.00); Teamwork(+3.60); Research(+3.50); Presentation(+2.80); Theory(+2.80),Database(+1.40); Self_Study(+1.60); Project_Work(+1.60); Problem_Solving(+1.80); Leadership(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI005,Neha Walia,neha.walia.ai22@rvce.edu.in,99,81,Teamwork(+3.60); Database(+3.50); Research(+3.50); Programming(+3.20); AI_ML(+3.20),System_Design(+1.40); Project_Work(+1.60); Leadership(+1.80); Time_Management(+2.10); Presentation(+2.10); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI006,Nikhil Menon,nikhil.menon.ai22@rvce.edu.in,84,84,Programming(+4.00); Time_Management(+2.80); Theory(+2.80); Teamwork(+2.70); Practical(+2.70),Database(+1.40); Communication(+1.60); Self_Study(+1.60); Problem_Solving(+1.80); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI007,Aditya Patel,aditya.patel.ai22@rvce.edu.in,75,98,Problem_Solving(+3.60); Theory(+3.50); Communication(+3.20); Teamwork(+2.70); Practical(+2.70),Leadership(+1.20); System_Design(+1.40); Time_Management(+1.40); Presentation(+1.40); Research(+1.40),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI008,Tara Fernandes,tara.fernandes.ai22@rvce.edu.in,93,84,Communication(+4.00); Teamwork(+3.60); Practical(+3.60); AI_ML(+3.20); Project_Work(+3.20),Research(+1.40); Programming(+1.60); Self_Study(+1.60); Leadership(+1.80); Database(+2.10); System_Design(+2.10); Time_Management(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI009,Vihaan Patel,vihaan.patel.ai22@rvce.edu.in,85,78,Project_Work(+4.00); Problem_Solving(+3.60); Teamwork(+3.60),Database(+1.40); Leadership(+1.80); System_Design(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI010,Tanvi Yadav,tanvi.yadav.ai22@rvce.edu.in,83,85,Problem_Solving(+3.60); Programming(+3.20); Database(+2.80); Time_Management(+2.80); Research(+2.80),Presentation(+1.40); Project_Work(+1.60); Leadership(+1.80); System_Design(+2.10); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
